facility_id,facility_name,street_address,city,state_code,zip_code,county,facility_type,provider_type,ownership_type,ownership_group,fiscal_year,source_fy_end_date,total_revenue,medicare_revenue,medicaid_revenue,other_revenue,medicare_method,total_days,medicare_days,medicaid_days,chain_name,chain_confidence,federal_medicaid_share,federal_medicaid_revenue,state_medicaid_revenue,medicare_dependency,medicaid_dependency,public_dependency
440130,BAPTIST MEM HOSPITAL UNION CITY,1201 BISHOP STREET,UNION CITY,TN,38261,OBION,STH,1,Government Federal,government,2023,2023-09-30,51978965.0,22017927.29,5465435.0,24495602.71,anchor_plus_days_share,4993.0,2115.0,1035.0,Unmapped / Independent,low,0.6416,3506623.1,1958811.9,0.423593030180574,0.10514705323586185,0.5287400834164359
440131,BAPTIST MEM HOSPITAL TIPTON COUNTY,1995 HIGHWAY 51 SOUTH,COVINGTON,TN,38019,TIPTON,STH,1,Government Federal,government,2023,2023-09-30,199589538.0,74766198.33,0.0,124823339.67,anchor_plus_days_share,2811.0,1053.0,250.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.3745997865379096,0.0,0.3745997865379096
440150,SUMMIT MEDICAL CENTER,5655 FRIST BLVD,HERMITAGE,TN,37076-,DAVIDSON,STH,1,Government City,government,2023,2023-12-31,318347212.0,68408183.23,17757116.0,232181912.77,anchor_plus_days_share,47402.0,10186.0,3569.0,Unmapped / Independent,low,0.6416,11392965.63,6364150.37,0.21488544787381397,0.0557790843791024,0.27066453225291637
440153,NEWPORT MEDICAL CENTER,435 SECOND STREET,NEWPORT,TN,37821-,COCKE,STH,1,Government City,government,2023,2023-09-30,48787000.0,8815680.9,4759935.0,35211384.1,anchor_plus_days_share,7543.0,1363.0,210.0,Unmapped / Independent,low,0.6416,3053974.3,1705960.7,0.18069733535573002,0.09756564248672803,0.278262977842458
440161,TRISTAR CENTENNIAL MEDICAL CENTER,2300 PATTERSON STREET,NASHVILLE,TN,37203,DAVIDSON,STH,1,Government City,government,2023,2023-12-31,1057185678.0,197509871.42,75911443.0,783764363.58,anchor_plus_days_share,108973.0,20359.0,8135.0,Unmapped / Independent,low,0.6416,48704781.83,27206661.17,0.18682609453587393,0.07180521319926546,0.25863130773513937
440175,SOUTHERN TN LAWRENCEBURG HOSPITAL,HIGHWAY 43 SOUTH,LAWRENCEBURG,TN,38464,LAWRENCE,STH,1,Government City,government,2023,2023-11-30,56482241.0,20683637.55,3718530.0,32080073.45,anchor_plus_days_share,4260.0,1560.0,703.0,Unmapped / Independent,low,0.6416,2385808.85,1332721.15,0.36619718311105964,0.06583538355002592,0.4320325666610856
440218,THE CENTER FOR SPINAL SURGERY,2011 MURPHY AVENUE  THIRD FLOOR,NASHVILLE,TN,37203,DAVIDSON,STH,1,Nonprofit Corporation,not_for_profit,2023,2023-12-31,84694538.0,20665141.84,1630127.0,62399269.16,days_share,2082.0,508.0,0.0,Unmapped / Independent,low,0.6416,1045889.48,584237.52,0.243996157579843,0.019247132560071347,0.2632432901399143
440238,HAYWOOD COUNTY COMMUNITY HOSPITAL,2545 N WASHINGTON AVE,BROWNSVILLE,TN,38012,HAYWOOD,STH,1,Government City,government,2023,2023-12-31,3778174.0,1310315.4,457274.0,2010584.6,anchor_plus_days_share,643.0,223.0,0.0,Unmapped / Independent,low,0.6416,293387.0,163887.0,0.3468118196779714,0.1210304236914446,0.467842243369416
441301,TROUSDALE MEDICAL CENTER,500 CHURCH STREET,HARTSVILLE,TN,37074,TROUSDALE,CAH,1,Government City,government,2023,2023-09-30,12631192.0,4912130.22,1804833.0,5914228.78,days_share,324.0,126.0,63.0,Unmapped / Independent,low,0.6416,1157980.85,646852.15,0.38888888871295757,0.14288698960478155,0.5317758783177391
441305,MACON COUNTY GENERAL HOSPITAL,204 MEDICAL DRIVE,LAFAYETTE,TN,37083-0378,MACON,CAH,1,Government State,government,2023,2023-09-30,19767231.0,9037159.76,4309089.0,6420982.24,days_share,2382.0,1089.0,202.0,Unmapped / Independent,low,0.6416,2764711.5,1544377.5,0.45717884108300244,0.21799153356380568,0.6751703746468082
441314,LAUDERDALE COMMUNITY HOSPITAL,326 ASBURY RD,RIPLEY,TN,38063,LAUDERDALE,CAH,1,Government City,government,2023,2023-12-31,11301412.0,8279644.09,0.0,3021767.91,days_share,374.0,274.0,1.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.7326203212483537,0.0,0.7326203212483537
441322,HOUSTON COUNTY COMMUNITY HOSPITAL,5001 EAST MAIN STREET,ERIN,TN,37061,HOUSTON,CAH,1,For-profit Corporation,for_profit,2023,2023-12-31,14775110.0,9308038.94,454244.0,5012827.06,days_share,527.0,332.0,21.0,Unmapped / Independent,low,0.6416,291442.95,162801.05,0.6299810248451618,0.030743865866311657,0.6607248907114736
441323,BIG SOUTH FORK MEDICAL CENTER,18797 ALBERTA ST,ONEIDA,TN,37841,SCOTT,CAH,1,Government City,government,2023,2023-12-31,19412133.0,8147178.91,0.0,11264954.09,days_share,1706.0,716.0,242.0,Unmapped / Independent,low,0.6416,0.0,0.0,0.41969519320725857,0.0,0.41969519320725857
