fiscal_year,chain_name,medicaid_total,medicare_total,federal_medicaid_total,state_medicaid_total,private_total,private_carrier_administered_total,uninsured_other_total,total_revenue,facility_count,state_count,public_total,comprehensive_total,public_dependency,private_dependency,private_carrier_administered_dependency,comprehensive_dependency
2016,Mercy,1260719441.0,5131665040.15,786670847.73,474048593.27,4801852403.51,8569807756.34,1821354300.34,13015591185.0,84,14,6392384481.15,11194236884.66,0.4911328567631252,0.3689307950178984,0.6584263161412441,0.8600636517810236
2015,CommonSpirit Health,1424376048.0,4910400739.36,770514628.53,653861419.47,4953504138.86,8722506581.51,1921495722.78,13209776649.0,70,16,6334776787.36,11288280926.22,0.4795521495694291,0.37498772844391637,0.6603068933925016,0.8545398780133454
2019,CommonSpirit Health,1421165977.0,4884724828.38,768070135.3,653095841.7,5823734141.82,9576207280.17,2215622580.8,14345247528.0,73,16,6305890805.38,12129624947.2,0.4395804807879227,0.40596958194362637,0.6675525996660934,0.8455500627315492
2022,Mercy,1579914342.0,4725483877.05,1004457655.43,575456686.57,7480442057.81,11264393946.67,2831315795.14,16617156072.0,82,13,6305398219.05,13785840276.86,0.3794511041317492,0.4501637961031483,0.6778773634828265,0.8296149002348975
2015,Mercy,1129390481.0,4964349740.09,710437553.17,418952927.83,4792825302.14,8370260519.96,1821052594.77,12707618118.0,86,14,6093740221.09,10886565523.23,0.47953441506543076,0.37716157801052363,0.6586805207896318,0.8566959930759543
2019,Mercy,1278340610.0,4722367454.4800005,792704782.0600001,485635827.94,5720392368.24,9276449925.73,2166362255.2799997,13887462688.0,80,14,6000708064.4800005,11721100432.720001,0.43209535098626367,0.4119105481509539,0.6679729864365846,0.8440058991372176
2021,Mercy,1385840956.0,4529144416.34,873490909.28,512350046.72,7161958457.0,10692368603.02,2709412469.66,15786356299.0,82,13,5914985372.34,13076943829.34,0.3746897168863907,0.4536802743679161,0.6773170705451085,0.8283699912543068
2014,Mercy,1013039656.0,4852017123.25,634645765.25,378393890.75,4573495056.67,8001884216.44,1740052444.08,12178604280.0,87,15,5865056779.25,10438551835.92,0.4815869408682355,0.3755352379895211,0.6570444389576635,0.8571221788577567
2020,Mercy,1232376281.0,4510674278.62,774106206.0,458270075.0,6028092860.66,9433245924.66,2281878453.72,14053021874.0,81,14,5743050559.62,11771143420.279999,0.4086701501721437,0.42895349588922155,0.6712610290682595,0.8376236460613652
2019,Trinity Health,1333143192.0,4348425534.08,773570562.82,559572629.18,4958194237.5,8349685675.29,1921026453.42,12560789417.0,41,16,5681568726.08,10639762963.58,0.452325768505478,0.39473587788913095,0.664742111191625,0.8470616463946089
2017,Trinity Health,1335367605.0,4153499968.42,776010528.8,559357076.2,3785487203.21,7071437889.61,1465993245.37,10740348022.0,41,16,5488867573.42,9274354776.630001,0.5110511840190722,0.3524547989931047,0.658399325154568,0.8635059830121771
2018,Trinity Health,1347292612.0,4091735526.88,785412409.9,561880202.1,4148807223.7799997,7409731222.55,1606241809.34,11194077172.0,41,16,5439028138.88,9587835362.66,0.4858844597288256,0.3706252118895076,0.6619331909810422,0.8565096716183331
2016,Trinity Health,1259059770.0,4153994170.77,729112745.06,529947024.94,3688466779.17,6917458400.58,1428335912.06,10529856632.0,41,16,5413053940.77,9101520719.94,0.514067202427035,0.3502865146293475,0.6569375673699106,0.8643537170563825
2023,Trinity Health,1623722974.0,3699523823.97,970851365.74,652871608.26,6092126910.65,9344657244.31,2358990555.38,13774364264.0,42,16,5323246797.969999,11415373708.619999,0.38646043446684325,0.4422800786945995,0.6784093309288136,0.8287405131614428
2015,Trinity Health,1225580632.0,3990589880.2,711698555.26,513882076.74,3611332418.27,6725342326.41,1397507505.53,10225010436.0,41,16,5216170512.2,8827502930.47,0.5101384047330668,0.353186184099656,0.657734519539614,0.8633245888327228
2021,Trinity Health,1421092666.0,3732739921.6,847631369.88,573461296.12,5365647322.34,8484473778.7300005,2076608222.06,12596088132.0,41,16,5153832587.6,10519479909.94,0.4091613629240047,0.4259772769220888,0.6735800583337805,0.8351386398460935
2020,Trinity Health,1313674493.0,3821481906.59,790903961.63,522770531.37,5011031257.88,8098102176.21,1940613937.53,12086801595.0,41,16,5135156399.59,10146187657.470001,0.42485651470561764,0.41458703681815506,0.669995458480925,0.8394435515237727
2023,Mayo Clinic,402033673.0,4536146292.059999,216315541.98000002,185718131.02,4493996439.33,7290402154.7,1265781737.6100001,10697958142.0,20,5,4938179965.059999,9432176404.39,0.4616002324474228,0.4200798301581165,0.6814760403742847,0.8816800626055393
2023,UPMC,2941918468.0,1995366833.6399999,1646718241.45,1295200226.55,4656556405.69,7960447015.19,1810883046.67,11404724754.0,29,3,4937285301.639999,9593841707.329998,0.4329157790422199,0.40830063908879494,0.6979955401727708,0.8412164181310148
2022,Trinity Health,1418788652.0,3421975182.98,841873354.09,576915297.91,5342871620.66,8289049460.3,2067753966.36,12251389422.0,41,15,4840763834.98,10183635455.64,0.3951195793586782,0.4361033215600613,0.6765803595643799,0.8312229009187395
2022,UPMC,2777232842.0,2026308752.42,1554119453.78,1223113388.22,3946413422.56,7143807867.87,1534716331.02,10284671348.0,29,3,4803541594.42,8749955016.98,0.4670583465318138,0.3837179904953828,0.6946073069470727,0.8507763370271966
2014,Trinity Health,1011183730.0,3768736378.73,591156965.8,420026764.2,3415293868.79,6246486674.55,1322371491.48,9517585469.0,40,16,4779920108.73,8195213977.5199995,0.5022198250069636,0.35884036764513977,0.656310016326684,0.8610601926521033
2021,UPMC,2809634437.0,1924100077.79,1569882272.1100001,1239752164.8899999,3839488329.04,7004969199.61,1493134350.17,10066357194.0,29,3,4733734514.79,8573222843.83,0.4702529846260093,0.38141785107014753,0.6958792604523586,0.8516708356961568
2021,Mayo Clinic,530785660.0,3957200020.74,276249467.46999997,254536192.53,3746189660.6,6320738916.99,1089557911.66,9323733253.0,20,5,4487985680.74,8234175341.34,0.4813507163877675,0.4017907375669105,0.6779193210998654,0.883141453954678
2022,Mayo Clinic,409706093.0,4076346002.95,219692589.15,190013503.85,4117603135.46,6666873006.83,1157004783.59,9760660015.0,20,5,4486052095.95,8603655231.41,0.45960540466074207,0.4218570392916201,0.6830350608037237,0.8814624439523622
2014,Sutter Health,323861130.0,3953747209.8199997,161930565.0,161930565.0,5120533545.98,7537990358.900001,1991318601.2,11389460487.0,14,2,4277608339.8199997,9398141885.8,0.37557602879455865,0.44958525926883086,0.661839107085354,0.8251612880633895
2023,Providence,1155364114.0,3032527921.37,608409562.94,546954551.06,4468856854.79,7003270297.05,1737888776.8400002,10394637667.0,30,7,4187892035.37,8656748890.16,0.4028896599893384,0.4299194448092541,0.6737387604460114,0.8328091047985925
2019,Providence,1007295422.0,3169070295.86,527618947.22,479676474.78,3630560915.32,6129021144.54,1408736421.82,9215663055.0,30,7,4176365717.86,7806926633.18,0.4531812516294304,0.39395547489664595,0.6650656722106036,0.8471367265260763
2018,Providence,986055151.0,3174820497.32,519318781.8,466736369.2,3562131371.33,6047824008.14,1383014744.35,9106021764.0,33,10,4160875648.32,7723007019.65,0.4569367124477697,0.39118414864904333,0.6641565510033851,0.848120861096813
